Na,Mg,Al,Si,P,S,K,Ca,Ba,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,As,Pb,Se,Th,Rb,U,Sr,Y,Zr,Nb,Mo
-0.453857701,-0.807055473,2.301858335,10.02796838,-0.004476273,0.404078217,1.07021753,1.557718003,709.3776583,0.156313356,-34.9579498,56.536393,164.0716124,1.700507318,9.044544144,-1.648449684,9.42052982,44.56117789,6.675845659,5.572041005,8.792963426,-1.774383611,5.206461593,69.75948016,15.62838509,107.4674596,11.49278636,140.6257638,3.055173627,-2.056093666
-0.319378284,-0.53578399,2.5757653,10.68829035,-0.012876814,0.424367998,1.192720709,1.739795638,1460.037661,0.162016764,-52.5415228,62.91253552,185.6003779,1.660521698,8.849761763,-0.829079918,6.93488729,46.65986372,4.394001675,4.979511947,7.705558662,-1.563498478,5.278324902,69.14538142,25.36817124,109.6269303,10.02374105,143.568192,2.315411689,-1.153324913
-0.323577407,-0.396610563,2.616212112,10.80946602,-0.013852365,0.424697453,1.230672215,1.896110519,1018.238746,0.188843462,-7.667016531,47.67612446,216.9471627,1.697906467,9.214262152,-0.568556838,9.54060227,47.69378321,7.144302674,5.085547731,8.373713351,-2.808898477,5.28977909,69.86200563,20.5889991,109.0056378,11.57845235,137.7678482,3.264750403,-0.018869136
-0.300384023,-0.431014091,2.546064155,10.7009666,-0.009125279,0.402394549,1.200757806,1.909204295,1300.829153,0.156425213,-15.35960783,52.98276838,219.8675222,1.733296928,9.573918999,0.374077828,10.120411,46.50359407,5.459233463,4.171138206,8.271431626,-3.13117859,5.239262114,67.39543773,20.06450682,102.5236405,8.852272745,145.3435282,2.376657568,1.63674909
-0.275068584,-0.324141183,2.654311071,11.26758286,-0.010761788,0.416707466,1.323146083,2.081307299,1042.020708,0.162327314,0.868159867,54.18791938,227.1042179,1.681463178,8.925656885,-1.48352318,9.290322093,43.7046466,5.386139437,4.42704638,7.965594841,-3.58842522,5.176366774,64.47972111,28.21308806,107.2861263,10.47976859,152.3584707,2.408709607,2.652920434
-0.25924663,-0.256543704,2.816254051,11.71896244,-0.013999446,0.393259287,1.400785625,2.266460251,780.9261794,0.203936285,20.60683619,42.96535512,263.9971707,1.68691185,9.267806775,-1.112370099,10.87629007,43.27362757,5.015151471,4.970256702,7.319309629,-4.065813621,5.150113887,66.0387137,18.77946765,100.1426097,9.738096494,148.9124767,2.510641741,4.261120854
-0.172272523,-0.174901026,2.875719775,12.16941686,-0.011839393,0.399810642,1.42669857,2.199014058,944.4283213,0.214408554,23.96439113,39.25318129,259.3055839,1.711866499,9.282838211,-1.733944546,9.506453017,46.60428673,7.012803275,5.386180009,7.457388199,-2.989618226,5.368863356,71.10565949,22.12096511,106.4105048,12.67350479,141.6365039,3.623602774,1.292099411
-0.287671876,-0.456068819,2.551360511,10.67203437,0.005883646,0.385184497,1.229652562,1.889535608,1114.755634,0.189587948,-25.27838711,43.91369045,223.6544244,1.718436422,9.103613626,-0.153527741,10.25840141,47.08299448,5.219574682,5.306692893,7.34642523,-3.947330091,5.25575361,69.46872099,19.4085002,100.9786547,10.38251086,133.4072006,3.026163254,0.944912223
-0.452735481,-0.834412888,2.169076421,9.417485378,0.0100793,0.364344241,1.072807803,1.583166877,550.4500749,0.155059628,-17.24256684,51.91386189,198.7565432,1.823405652,9.982067374,-0.329788318,12.1952295,46.04291774,6.911637837,6.114960427,8.202481953,-3.324107948,5.195505679,69.56716151,15.84952247,104.862788,10.6178401,131.5355861,3.114542316,0.843810323
-0.445096982,-0.658256836,2.41103745,9.962341961,0.008973648,0.367801711,1.110774194,1.634756736,831.7554221,0.164763445,-18.55416039,46.86483143,199.765783,1.887820344,10.47817666,-0.179094179,10.03207185,51.50841678,6.69788515,6.559704784,9.140672967,-1.565033388,5.037044764,67.39265646,12.28362243,105.4258968,11.1484372,124.8777533,3.506064396,3.951272353
-0.27205662,-0.524654385,2.657241091,11.42697853,-0.004719653,0.387370809,1.299587676,1.910158201,1176.593028,0.170839993,-23.66357652,42.77189718,220.430723,1.907332185,10.40252665,0.258780456,10.44501901,48.96884522,7.149146236,5.24511919,9.129812595,-1.6503846,5.281233859,71.06311902,18.32744992,109.8715987,12.70647379,125.8185013,3.607492171,-0.381860643
-0.356814522,-0.65036296,2.380903086,10.37739672,0.005091133,0.380211393,1.146228797,1.649211615,1319.202639,0.144576982,-33.76891933,54.8806126,175.3504766,1.811710538,10.15803895,0.216910048,10.61005607,48.51243239,8.613599384,6.194229224,9.525120437,-2.596653364,5.417516072,73.85275627,16.24020959,113.8771152,13.11108098,130.4334674,4.170180939,2.345929284
-0.453038088,-0.850378678,2.301828618,9.916215569,0.021957521,0.379209203,1.067229944,1.537860498,748.7987938,0.149911403,-58.50193031,46.27665046,170.7324356,1.781234939,9.388468492,-0.725607698,8.774835747,45.32694323,5.43286628,5.270614538,7.429000434,-4.25758864,5.306911032,71.71048482,14.76833908,115.3178283,11.14922493,134.9543321,3.336730486,0.393619514
-0.375761613,-0.705704514,2.411135415,10.35248259,0.011640959,0.379000443,1.127188956,1.640030399,944.6587528,0.152562306,-22.62573504,26.43657679,207.015166,1.731810384,9.387991099,-0.221145029,9.334373888,44.40684256,6.817904852,5.559232154,9.115398806,-3.820194601,5.322896303,71.1840614,19.40717689,115.1430234,11.61880804,146.2434718,3.391492881,3.175426656
-0.269597777,-0.344309506,2.587116777,11.0343236,-0.006966067,0.382579405,1.286275006,1.921702382,1620.465262,0.168906663,-29.73673335,35.8219845,231.6024799,1.646818723,9.032550829,-0.40207039,8.877527783,42.82166175,6.804349534,5.672154478,8.035545482,-3.9029298,5.399665616,73.08549912,19.20654091,110.7040425,10.16767028,149.4423417,2.854839465,2.206917579
-0.28425666,-0.393821391,2.643621139,11.53886456,-0.016492473,0.417705168,1.364586613,2.027332219,1159.652757,0.18813104,-22.43500682,28.36348241,262.0659049,,,,,,,,,,,,,,,,,
-0.245014774,-0.498469431,2.749562105,11.78308472,-0.000802986,0.360016424,1.373892705,2.073815274,1329.007245,0.184126215,-16.03004885,39.8629171,240.1068794,1.674169058,9.179023016,-1.071643679,10.6104829,44.81826035,7.537198677,5.889196496,6.682497285,-4.022885534,5.462974601,73.72129918,17.19887266,105.158026,10.89328468,139.8495522,3.161776517,-0.772860488
-0.235826641,-0.495934609,2.645549553,11.7046763,0.004372618,0.376224362,1.298268619,1.805535774,580.0715578,0.175183437,-28.57418413,49.31374008,209.2670823,1.718608428,9.512972158,-0.474228552,8.687197561,44.94529406,6.479190987,5.440471515,6.792591737,-3.476552613,5.549489104,75.56430348,17.61233204,109.8531327,12.83052411,134.9890088,3.777274255,0.383900948
-0.341994505,-0.491816484,2.690850202,11.59778608,0.006923403,0.39606979,1.229173327,1.730561871,755.2085586,0.163758913,-28.54989631,52.42541272,198.9776629,1.716603169,9.351145026,0.273434508,9.996650631,42.08566835,6.481787063,5.669683329,8.186675168,-1.483438343,5.643635867,76.67151253,20.87989958,117.8923254,13.45871293,135.6528966,3.840013269,-1.711532544
-0.205067163,-0.158974913,3.081325877,13.24248511,-0.002342015,0.407564511,1.433030054,1.996246184,767.277141,0.185891497,2.617001971,44.68011054,221.2243275,1.734944383,9.581589984,-1.093516365,8.310444609,39.41930022,7.09840769,4.919059359,9.303339077,-2.259044666,5.803275506,80.50348098,16.2220557,129.6216206,13.710136,147.0891991,4.27516087,0.03363802
-0.119837354,-0.147974385,3.266986599,14.38327788,-0.008658091,0.420024637,1.550558982,2.240700651,1262.056005,0.188614014,26.55026958,40.64249771,253.7734809,1.800318816,9.622054501,1.535813416,10.68509831,44.99869528,7.947544269,5.980619647,9.10849994,-2.832792249,6.031223671,84.85476398,23.40226985,141.1161785,19.06777525,155.8449286,5.867284668,0.872155002
-0.12926368,-0.057654238,3.299118611,14.80504933,-0.004798622,0.405561967,1.552980799,2.398455379,1078.338371,0.206641178,10.70909817,45.5198285,270.6309832,1.867846709,10.27025901,0.673901691,10.7816268,50.63688405,8.192085388,8.155340648,10.35926459,-3.570524836,5.807107295,81.82731754,16.13891367,133.4323453,22.85737861,165.8027414,6.985270577,0.755581114
-0.118799449,-0.144411436,3.118545617,13.64269678,0.003338451,0.38952,1.433499124,2.20530403,1315.695572,0.190627761,22.24122672,43.03689059,265.3463755,1.855810815,10.30709038,1.762904089,22.12052254,54.60825246,9.952939433,6.85146344,11.53297478,-1.912731194,5.840041249,81.6127534,25.8892,135.9035968,20.35954789,150.0289259,6.129970844,1.746898382
-0.112796722,-0.074802826,3.048360452,13.75592083,0.00334658,0.410305216,1.539166563,2.146767626,1451.886768,0.194607023,15.23244999,43.13371952,255.2208243,1.704587929,9.241154958,0.018936313,35.14478958,63.48981084,10.35511905,7.910992621,8.925540374,-4.229363109,5.686465222,78.80649044,20.33145085,127.4096993,19.77150643,146.4307709,5.987963591,-2.043207397
-0.147706427,-0.334940219,3.162264237,13.70989391,0.000305586,0.402705392,1.630081478,2.113219388,1470.058975,0.195829384,-2.913966019,54.18409827,237.6845154,,,,,,,,,,,,,,,,,
-0.011475083,0.113214837,3.482398394,14.8634861,-0.010056281,0.415285415,1.757027948,2.492261367,886.8907579,0.24788208,25.13990847,28.2117671,315.3696928,1.813248745,9.95050035,2.380026618,28.67764879,60.39240706,12.47295278,7.57465856,9.774719293,-2.941639081,5.711326993,79.54193505,16.86575519,125.6660081,16.26785559,155.7689489,5.032409681,-0.174502313
-0.062321992,0.216098931,4.364661353,14.50708465,-0.005142185,0.381114674,1.702988428,2.56539981,1226.167722,0.24396739,38.66627615,22.85422775,341.3264021,1.970164295,10.40282368,3.652671828,13.41832571,59.38720956,8.086613472,7.474324503,8.015711706,-2.261552449,5.703001825,79.22830468,17.23177371,129.464611,13.70297447,152.6074404,4.153940445,0.827357673
0.098638451,0.813294898,10.69734876,15.59306748,-0.006872665,0.406915329,1.701714557,2.495730263,1571.35643,0.215005665,37.18131309,34.79230668,326.0073562,2.01202454,10.97734991,4.307837861,12.04234391,58.33232657,7.459687892,7.568311092,9.243799199,-1.19589328,5.836346158,82.25138019,15.55071385,128.5154931,16.67186461,151.9382081,5.264875845,-0.72193052
0.108350944,0.770514735,11.93996042,17.00140285,-0.000471964,0.406471989,1.859008887,2.560526271,831.5543364,0.246260608,74.09218517,30.97299611,343.62944,2.008730993,10.51801931,3.54999409,11.81117512,58.51882543,8.129509915,7.788066841,8.729238624,-2.099573769,5.730073065,80.15758231,17.97015755,131.6853753,15.81844575,155.2809551,4.891845691,1.974388454
0.100951604,0.723988302,9.278722791,16.04552196,-0.00692921,0.387314145,1.755770426,2.51122774,1260.466518,0.223710731,62.40057123,30.97324652,363.1904468,1.947909888,10.58710686,2.556657102,12.05934497,52.93121876,7.174780344,6.496669156,10.47381343,-1.701463286,5.736588623,80.14693572,19.47522355,129.6905752,14.71216876,154.76977,4.366315978,-0.061313947
-0.071552343,0.243622065,4.42557844,14.46026262,-0.003283765,0.382877003,1.616850112,2.425729479,1612.915465,0.210834538,16.12107184,29.29114835,321.9905269,1.916486147,10.66608512,2.19656922,11.87123569,55.21464208,6.796166818,6.654199038,10.8550457,-1.833358645,5.783093687,81.09296886,15.42878287,123.8960478,15.80186799,166.4017257,4.997061038,2.302868993
-0.077633903,0.116893409,3.40096074,13.78235137,-0.006890763,0.39173268,1.589196094,2.496764668,1116.435143,0.229592776,56.35112367,28.60670962,320.7330971,1.969208606,10.55951685,2.290105366,12.5244514,53.25757133,8.152262025,7.593969394,10.89111485,-2.260189446,5.811003735,81.67650853,19.19756866,131.448069,14.69176934,157.5833029,4.553023908,-0.972380335
-0.049414838,0.142990343,3.476281455,14.46079753,-0.010080852,0.405004915,1.634541056,2.554775064,886.9990474,0.239471065,48.54181252,28.29550212,346.040568,1.977404538,10.84696282,2.572330258,9.583647687,53.31980796,8.368015653,6.747404234,10.41104459,-2.842124027,5.888768692,82.00420052,25.99274033,132.6027173,15.85625494,163.5555405,4.768985966,2.389271171
-0.016242459,0.378050251,3.558963775,15.10217788,-0.006389145,0.394411424,1.72077096,2.592648552,1583.85806,0.226816599,33.6415087,34.39429393,328.429459,1.853189018,10.24755189,0.65343267,10.22308787,48.93473242,8.380789414,5.755759278,9.592661475,-2.732207249,5.821570271,80.46347939,25.28260897,126.8294464,14.65493562,175.7017089,4.435334976,1.506630733
0.082498071,0.329948141,3.710920399,15.49770721,-0.00578851,0.403224802,1.736718136,2.615151294,832.9341105,0.257595374,43.84835588,40.4669847,284.6967216,1.827058476,10.14849811,0.721664319,10.30858552,50.58523871,7.699677188,5.700647373,8.935760266,-3.044126163,5.713159591,78.24648258,20.60487705,123.7386121,11.14324075,168.5889944,3.258462761,2.936695101
0.053017149,0.293316289,3.800602098,16.08071732,-0.008649008,0.391827623,1.827710778,2.81853964,1560.698172,0.26938551,55.63909999,43.88999024,287.5786484,1.853318531,10.10191987,1.331248645,10.33910255,51.29598195,6.764985917,6.732078247,8.974626632,-3.35339889,5.739068596,78.9105747,23.51233236,124.0375556,11.84659994,162.4024336,3.525460674,2.885894531
0.072238875,0.123396985,3.622239417,15.45750995,-0.006075327,0.387758242,1.712448914,2.718416324,1113.686497,0.276675696,53.27875825,39.30604042,282.0253032,1.873598891,10.75326239,-0.522774232,10.57741203,54.66042402,7.059115666,5.335365389,7.624402248,-4.734360307,5.826925406,79.09646525,27.3859502,130.0982146,12.21180072,148.2384857,3.626635715,1.478256157
-0.080155258,0.287965362,3.50112971,14.99757832,-0.005409226,0.394754112,1.749122193,2.713952426,1321.939354,0.241972103,22.55754729,53.76855429,265.3965804,1.910474307,10.85670595,1.721155904,11.82361111,54.09571069,5.912063196,4.847825957,8.746324536,-3.867706028,5.65552035,77.41351045,20.39672901,123.0950269,13.64566644,141.5604461,4.044549055,0.830532948
-0.14327767,-0.025865094,3.224183857,13.76501115,-0.002547385,0.377248161,1.572479053,2.422592959,668.0389915,0.225999378,13.49790231,38.78676259,243.4871178,1.887487789,10.57056366,1.315428195,12.39246827,57.57707734,6.08023385,5.720134819,9.878847447,-2.173830489,5.666910652,78.45785601,20.19931675,125.040759,11.93281714,144.5089887,3.560788251,1.540090249
